,병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
226,W치과의원,치과,0507-1407-2842,부산 남구 수영로 323 4층 402호 더블유치과,13:00 - 20:00,,13:00 - 20:00,13:00 - 20:00,13:00 - 20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),"13:00 - 20:00

13:00 - 20:00
13:00 - 20:00
13:00 - 20:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",,, 토요일
227,강동섭소아과의원,소아청소년과,051-634-9305,부산 남구 수영로 37,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 토요일
228,다솜부부치과의원,치과,051-626-2879,부산 남구 용호로 50,"09:30 - 18:00
12:30 - 14:00 휴게시간",,정기휴무 (매주 수요일),"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

정기휴무 (매주 수요일)
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 수요일
229,김진규내과의원,내과,0507-1314-7666,부산 남구 고동골로78번길 12 동일약국,09:00 - 18:30,,09:00 - 18:30,"09:00 - 18:30
접기",09:00 - 18:30,09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 14:00
정기휴무 (매주 일요일)",,, 일요일
230,새라새요양병원,요양병원,051-628-6005,부산 남구 석포로26번길 17,09:00 - 17:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,정보없음,"09:00 - 17:00

09:00 - 17:00
09:00 - 17:00
09:00 - 17:00
09:00 - 12:00
정보없음",,,
231,정다운치과의원,치과,051-626-2882,부산 남구 황령대로319번가길 194 부산은행,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
232,바른얼굴덕치과의원,치과,051-623-2080,부산 남구 수영로 261 제401동 208호~209호,"10:00 - 19:00
13:00 - 14:00 휴게시간",,10:00 - 14:00,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 14:00
10:00 - 20:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
233,대연의원,"병원,의원",051-624-0607,부산 남구 수영로 256 혜인한의원 빌딩 2층 대연의원,"09:30 - 17:30
12:30 - 13:30 휴게시간",,"09:30 - 17:30
12:30 - 13:30 휴게시간","09:30 - 17:30
12:30 - 13:30 휴게시간","09:30 - 17:30
12:30 - 13:30 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),"09:30 - 17:30

09:30 - 17:30
09:30 - 17:30
09:30 - 17:30
09:00 - 12:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 일요일
234,가나병원,"병원,의원",051-624-6666,부산 남구 유엔평화로 156,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",,, 토요일
235,동재비뇨기과의원,비뇨의학과,051-627-8825,부산 남구 용호로 144 정효경치과,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
236,스마일365한의원,한의원,051-715-7585,부산 남구 수영로 201 2층,"09:00 - 20:00
13:00 - 14:00 휴게시간",,"09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 20:00
13:00 - 14:00 휴게시간
접기","09:00 - 20:00
13:00 - 14:00 휴게시간",09:00 - 14:00,09:00 - 14:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 14:00
09:00 - 14:00",13:00 - 14:00 ,,
237,성찬의원,내과,051-625-8575,부산 남구 용호로 129 두산빌딩,"09:00 - 18:00
12:40 - 14:00 휴게시간",,"09:00 - 18:00
12:40 - 14:00 휴게시간",09:00 - 12:00,"09:00 - 18:00
12:40 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 12:00
09:00 - 18:00
09:00 - 12:00
정기휴무 (매주 일요일)",12:40 - 14:00 ,, 일요일
238,용당요양병원,요양병원,051-625-3001,부산 남구 신선로 429,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
239,장수촌한의원,한의원,051-612-5353,부산 남구 분포로 113 엘지메트로시티,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
240,레전드이비인후과의원,이비인후과,051-635-5075,부산 남구 수영로 151-1 3층,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"

09:00 - 18:30
14:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
241,최계두내과의원,내과,051-621-0603,부산 남구 수영로 203 대연메디컬센터,"09:00 - 18:00
17:30 접수마감",,"09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감","09:00 - 12:00
11:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:00
정기휴무 (매주 일요일)",17:30 접수마감,17:30, 일요일
242,대연맑은내과의원,내과,051-715-8277,부산 남구 수영로 233 11층,"09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감",,"09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감
접기","09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감","09:00 - 14:00
12:30 - 13:30 휴게시간
13:50 접수마감",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 14:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 일요일
243,고려치과의원,치과,0507-1407-0142,부산 남구 유엔평화로3번길 5 1층,"09:00 - 17:40
12:00 - 13:30 휴게시간",,"09:00 - 17:40
12:00 - 13:30 휴게시간","09:00 - 17:40
12:00 - 13:30 휴게시간","09:00 - 17:40
12:00 - 13:30 휴게시간",09:00 - 12:40,정기휴무 (매주 일요일),"09:00 - 17:40

09:00 - 17:40
09:00 - 17:40
09:00 - 17:40
09:00 - 12:40
정기휴무 (매주 일요일)",12:00 - 13:30 ,, 일요일
244,미치과,치과,051-628-6111,부산 남구 수영로 323,10:00 - 18:30,,14:00 - 17:00,10:00 - 18:30,10:00 - 18:30,10:00 - 13:00,정기휴무 (매주 일요일),"10:00 - 18:30

14:00 - 17:00
10:00 - 18:30
10:00 - 18:30
10:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
245,우암치과의원,치과,051-637-2875,부산 남구 우암로 148 부산은행,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",14:00 - 20:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
14:00 - 20:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
246,대연힐정신건강의학과의원,정신건강의학과,0507-1357-9030,부산 남구 수영로 295 503호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

14:00 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
247,못골이비인후과의원,이비인후과,0507-1460-0936,부산 남구 수영로 206 2층,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,"09:00 - 13:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
248,청담한의원,한의원,051-627-7514,부산 남구 용호로 54 대영빌딩 4층 청담 한의원,"09:00 - 19:00
13:00 - 14:00 휴게시간
12:00, 18:00 접수마감",,"09:00 - 20:00
13:00 - 14:00 휴게시간
12:00, 19:00 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
12:00, 18:00 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
12:00, 18:00 접수마감","09:00 - 13:00
12:00 접수마감",정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 20:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,12:00, 일요일
249,마디튼튼프롤러의원,"병원,의원",051-638-7582,부산 남구 수영로 182-1,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,12:30, 일요일
250,이수근정신건강의학과의원,정신건강의학과,051-611-5878,부산 남구 수영로 203 대연 메디칼센터,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
14:00 - 18:30
09:30 - 18:30
09:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
251,생기한의원,한의원,051-635-6352,부산 남구 지게골로 46 2층 생기한의원,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 17:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
252,샤론의꽃의원,성형외과,051-611-7400,부산 남구 수영로 298 산암빌딩,,,,,,,,"





",,,
253,현창한의원,한의원,051-638-7900,부산 남구 수영로 21,"09:30 - 20:00
13:00 - 14:00 휴게시간",,09:30 - 13:00,"09:30 - 20:00
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 20:00

09:30 - 13:00
09:30 - 20:00
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
254,배성범정형외과의원,정형외과,051-637-8275,부산 남구 우암로 100,"09:00 - 19:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 13:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
255,미래치과의원,치과,051-621-2804,부산 남구 용호로198번길 2,"09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 12:00
11:00 접수마감",정보없음,"09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 12:00
정보없음",13:00 - 14:30 ,11:00,
256,정학기정형외과의원,정형외과,051-627-5900,부산 남구 수영로 206 정학기정형외과,"10:00 - 18:00
13:00 - 15:00 휴게시간",,정기휴무 (매주 수요일),"10:00 - 18:00
13:00 - 15:00 휴게시간","10:00 - 18:00
13:00 - 15:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),"10:00 - 18:00

정기휴무 (매주 수요일)
10:00 - 18:00
10:00 - 18:00
10:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 15:00 ,, 수요일
257,오동준한의원,한의원,051-627-7577,부산 남구 못골로 49 2층,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
258,정한호내과의원,내과,051-611-7677,부산 남구 수영로 196 우정약국,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
259,모든이치과의원,치과,051-621-2080,부산 남구 수영로 209 일동 지에닌,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
260,소생한의원,한의원,0507-1480-1041,부산 남구 용호로 127 서현빌딩 1층 소생한의원,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
261,로덴치과의원,치과,0507-1381-2875,부산 남구 수영로 241 10층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 13:00
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
262,부산미래IFC 검진센터,건강검진,051-710-2000,부산 남구 전포대로 133 국제금융단지 IFC몰 3층~4층,07:30 - 16:30,,07:30 - 16:30,07:30 - 16:30,07:30 - 16:30,07:30 - 12:30,정기휴무 (매주 일요일),"07:30 - 16:30

07:30 - 16:30
07:30 - 16:30
07:30 - 16:30
07:30 - 12:30
정기휴무 (매주 일요일)",,, 일요일
263,성민치과의원,치과,051-627-1809,부산 남구 홍곡로 360 401동 2층 206-9,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
264,비타민내과의원,내과,0507-1305-8273,부산 남구 용호로 152 2층,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정보없음,"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정보없음",13:00 - 14:00 ,,
265,대연건치과의원,치과,0507-1319-2803,부산 남구 못골로12번길 35 대동레미안센트럴시티 4층 401호~404호 (대연동),"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 20:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 20:30
09:30 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
266,이균태내과의원,내과,051-625-3100,부산 남구 용호로 147 종합검진센타,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
267,아이비치과의원,치과,051-506-2875,부산 남구 석포로 128 문화약국 2층,,,09:30 - 18:00,09:30 - 18:00,09:30 - 12:30,09:30 - 13:00,정기휴무 (매주 일요일),"

09:30 - 18:00
09:30 - 18:00
09:30 - 12:30
09:30 - 13:00
정기휴무 (매주 일요일)",,, 일요일
268,편안한민치과의원,치과,0507-1485-2828,부산 남구 수영로 184 3층,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:30 - 21:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:30 - 21:00
10:00 - 19:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
269,영진의원,"병원,의원",051-628-1600,부산 남구 못골로 71,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 13:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
270,정문호내과의원,내과,051-642-1847,부산 남구 석포로 67,09:00 - 18:00,,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
271,나원섭치과,치과,051-625-8102,부산 남구 수영로 237,"10:00 - 18:30
13:00 - 14:20 휴게시간",,"10:00 - 18:30
13:00 - 14:20 휴게시간","10:00 - 18:30
13:00 - 14:20 휴게시간","10:00 - 18:30
13:00 - 14:20 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),"10:00 - 18:30

10:00 - 18:30
10:00 - 18:30
10:00 - 18:30
10:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:20 ,, 일요일
272,자윤수한의원,한의원,051-626-3834,부산 남구 오륙도로 85 오륙도에스케이뷰아파트,"10:00 - 18:00
13:00 - 14:00 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 목요일),"10:00 - 18:00
13:00 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),"10:00 - 18:00

10:00 - 18:00
정기휴무 (매주 목요일)
10:00 - 18:00
10:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 목요일
273,부산미래IFC치과의원,치과,051-717-7045,부산 남구 전포대로 133 IFC 4층 402호,,,,,,,,"





",,,
274,명가한의원,한의원,051-327-1075,부산 남구 수영로 220,"09:00 - 18:00
12:00 - 14:00 휴게시간",,"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:00 - 14:00 ,, 일요일
275,효메디요양병원,요양병원,051-624-6600,부산 남구 용호로 95 휴메디,,,,,,,,"





",,,
276,한빛내과의원,내과,051-645-6566,부산 남구 전포대로 69 동주빌딩,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
277,디엘치과의원,치과,051-636-7528,부산 남구 유엔로 14 우암 센텀 메디컬,"09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 15:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 21:00
09:30 - 19:00
09:30 - 15:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
278,김종성한의원,한의원,051-625-8275,부산 남구 못골로 74,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","정기휴무 (매주 목요일)
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
정기휴무 (매주 목요일)
09:00 - 19:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 목요일
279,조은의원,"병원,의원",051-647-7630,부산 남구 장고개로 108 세영맨션,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
09:00 - 12:30
정기휴무 (매주 일요일)",,, 일요일
280,임해누리의료소비자생활협동조합오륙도요양병원,요양병원,051-647-7007,부산 남구 용호로 132 부산은행용호동지점,,,,,,,,"





",,,
281,참사랑한의원,한의원,051-647-4009,부산 남구 석포로 48 참사랑한의원,"08:30 - 18:00
13:00 - 14:00 휴게시간",,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간",08:30 - 14:00,정기휴무 (매주 일요일),"08:30 - 18:00

08:30 - 18:00
08:30 - 18:00
08:30 - 18:00
08:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
282,허균한의원,한의원,010-8587-8275,부산 남구 수영로 283 103동 1층 104호,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
283,치항외과의원,외과,051-628-7508,부산 남구 용호로 135 성호빌딩,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
284,서달덕내과의원,내과,051-645-7555,부산 남구 진남로 206,,,,,,,,"





",,,
285,동민한의원,한의원,051-611-0377,부산 남구 수영로 340,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
286,평일한의원,한의원,0507-1343-7802,부산 남구 못골로 51 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
287,정해철내과의원,내과,051-645-8300,부산 남구 수영로 17,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
288,성남한의원,한의원,051-647-7582,부산 남구 홍곡로 12 허문회치과,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 15:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 15:00
정기휴무 (매주 일요일)",,, 일요일
